Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
56770-83155,OF,Ramon,Ramon Laureano,Laureano,17.649999618530273,4,3500,OAK@HOU,OAK,HOU,,,,,,OF/UTIL
56770-85285,1B,Nate,Nate Lowe,Lowe,20.8000005086263,6,3400,SD@TEX,TEX,SD,,,,,,C/1B/UTIL
56770-118210,2B/1B,Jake,Jake Cronenworth,Cronenworth,9.614286150251116,7,3400,SD@TEX,SD,TEX,,,,,,C/1B/2B/UTIL
56770-12931,OF,Wil,Wil Myers,Myers,14.642857142857142,7,3300,SD@TEX,SD,TEX,,,,,,OF/UTIL
56770-17139,C,J.T.,J.T. Realmuto,Realmuto,12.09999974568685,6,3300,PHI@ATL,PHI,ATL,,,,,,C/1B/UTIL
56770-79125,OF,Kyle,Kyle Tucker,Tucker,14.883333841959635,6,3300,OAK@HOU,HOU,OAK,,,,,,OF/UTIL
56770-38293,OF,Tyler,Tyler Naquin,Naquin,21.25,6,3300,CIN@ARI,CIN,ARI,,,,,,OF/UTIL
56770-79273,1B/3B,Vladimir,Vladimir Guerrero Jr.,Guerrero Jr.,10.266666412353516,6,3300,LAA@TOR,TOR,LAA,,,,,,C/1B/3B/UTIL
56770-5221,3B/1B,Asdrubal,Asdrubal Cabrera,Cabrera,10.40000025431315,6,3200,CIN@ARI,ARI,CIN,,,,,,C/1B/3B/UTIL
56770-21633,SS/3B,Eugenio,Eugenio Suarez,Suarez,10.55999984741211,5,3200,CIN@ARI,CIN,ARI,,,,,,3B/SS/UTIL
56770-38040,OF,Eddie,Eddie Rosario,Rosario,10.080000305175782,5,3200,DET@CLE,CLE,DET,,,,,,OF/UTIL
56770-13487,OF,Tommy,Tommy Pham,Pham,5.628571646554129,7,3200,SD@TEX,SD,TEX,,,,,,OF/UTIL
56770-82977,SS/3B,Isiah,Isiah Kiner-Falefa,Kiner-Falefa,12.449999491373697,6,3100,SD@TEX,TEX,SD,,,,,,3B/SS/UTIL
56770-104483,1B,Jared,Jared Walsh,Walsh,17.060000610351562,5,3100,LAA@TOR,LAA,TOR,,,,,,C/1B/UTIL
56770-13909,OF,Randal,Randal Grichuk,Grichuk,12.016666412353516,6,3100,LAA@TOR,TOR,LAA,,,,,,OF/UTIL
56770-17086,OF,Marcell,Marcell Ozuna,Ozuna,2.5,6,3100,PHI@ATL,ATL,PHI,,,,,,OF/UTIL
56770-68544,3B,Matt,Matt Chapman,Chapman,7.128571646554129,7,3100,OAK@HOU,OAK,HOU,,,,,,3B/UTIL
