Pitchers to use:
	Joe Ryan $11000 [Minnesota Twins] vs New York Yankees - Overall: -9.94 K% Average: 0.25 K% vs L: 0.19 K% vs R: 0.31
	Jonathan Schoop $2300 [Detroit Tigers] vs Eric Lauer - Overall: 0.99 HR Rating: 0.37 Value Rating: 0.43
	Luis Guillorme $2000 [New York Mets] vs Josiah Gray - Overall: 0.6 HR Rating: -1.74 Value Rating: 0.3
	Thairo Estrada $3600 [San Francisco Giants] vs Jake Woodford - Overall: 0.6 HR Rating: -0.81 Value Rating: 0.17
	Luis Arraez $3100 [Miami Marlins] vs Charlie Morton - Overall: 0.36 HR Rating: -5.08 Value Rating: 0.11
	Jeter Downs $2000 [Washington Nationals] vs Jose Butto - Overall: 0.31 HR Rating: 1.45 Value Rating: 0.16
	Jorge Polanco $3200 [Minnesota Twins] vs Nestor Cortes - Overall: 0.3 HR Rating: 0.82 Value Rating: 0.09
	David Villar $2700 [San Francisco Giants] vs Jake Woodford - Overall: 0.24 HR Rating: 1.15 Value Rating: 0.09
	Garrett Hampson $2000 [Miami Marlins] vs Charlie Morton - Overall: 0.22 HR Rating: -1.13 Value Rating: 0.11
	Brendan Donovan $2900 [St. Louis Cardinals] vs John Brebbia - Overall: 0.15 HR Rating: 1.13 Value Rating: 0.05
	Santiago Espinal $2100 [Toronto Blue Jays] vs Mike Clevinger - Overall: 0.09 HR Rating: -5.09 Value Rating: 0.04
	Elvis Andrus $2300 [Chicago White Sox] vs Jose Berrios - Overall: 0.08 HR Rating: -8.48 Value Rating: 0.03
	Oswald Peraza $2700 [New York Yankees] vs Joe Ryan - Overall: 0.06 HR Rating: 0.08 Value Rating: 0.02
	Ha-Seong Kim $2600 [San Diego Padres] vs Justin Steele - Overall: 0.04 HR Rating: -1.69 Value Rating: 0.01
	Jordan Diaz $2500 [Oakland Athletics] vs Griffin Canning - Overall: 0.03 HR Rating: -0.02 Value Rating: 0.01
	Zach McKinstry $2200 [Detroit Tigers] vs Eric Lauer - Overall: 0.03 HR Rating: -0.18 Value Rating: 0.01
	Brice Turang $2700 [Milwaukee Brewers] vs Spencer Turnbull - Overall: 0.0 HR Rating: 0.0 Value Rating: 0.0
	Lenyn Sosa $2100 [Chicago White Sox] vs Jose Berrios - Overall: -0.09 HR Rating: -0.23 Value Rating: -0.05
	Nico Hoerner $3700 [Chicago Cubs] vs Blake Snell - Overall: -0.1 HR Rating: -0.87 Value Rating: -0.03
	Nick Gordon $2100 [Minnesota Twins] vs Nestor Cortes - Overall: -0.36 HR Rating: -0.61 Value Rating: -0.17
	Michael Massey $2100 [Kansas City Royals] vs Ryne Nelson - Overall: -0.69 HR Rating: 0.53 Value Rating: -0.33
	Owen Miller $2100 [Milwaukee Brewers] vs Spencer Turnbull - Overall: -1.05 HR Rating: -8.24 Value Rating: -0.5

Third Basemen to use:
	Austin Riley $3400 [Atlanta Braves] vs Bryan Hoeing - Overall: 13.76 HR Rating: 19.04 Value Rating: 4.05
	Jeimer Candelario $2900 [Washington Nationals] vs Jose Butto - Overall: 5.53 HR Rating: 14.14 Value Rating: 1.91
	Matt Chapman $4000 [Toronto Blue Jays] vs Mike Clevinger - Overall: 3.67 HR Rating: 7.82 Value Rating: 0.92
	Eduardo Escobar $2600 [New York Mets] vs Josiah Gray - Overall: 2.28 HR Rating: 5.19 Value Rating: 0.88
	Nolan Arenado $3200 [St. Louis Cardinals] vs John Brebbia - Overall: 1.84 HR Rating: 10.32 Value Rating: 0.57
